"Antwann Jones","UNC Greensboro",SC,6,5,75,19.1,37.5,38.35,7.7,18.1,6.2,25.6,1,2,0.5,3,10,0.3,2,6,0.333,2.1,2,12.5,Sr,6-6,0,-0.64556,73.1289,4.1,2026,65925,"Orlando, FL",79.0,0.50005835,2,5,1,5,0.4000,0.2000,0,0,,,116.257,115.808,0.622843,10.8613,-9.18265,-7.17494,-2.00771,-8.91464,11.4857,-5.71591,-3.19872,0.5714,1.5714,2.1429,0.4286,0.2857,0.1429,3.4286,"Wing F",5.90589,1999-05-29
"Elijah Elliott","New Mexico St.",CUSA,25,49.1,105.2,26.3,43.6,49.73,1.8,10,26.2,15.1,57,70,0.814,34,95,0.358,34,100,0.34,1,2.2,35.9,Sr,6-1,11,1.39292,112.898,3.1,2026,67572,"Houston, TX",,1.78371290,16,29,18,66,0.5517,0.2727,0,0,,,111.166,111.975,1.52994,78.4366,-0.508822,1.27672,-1.78554,0.59195,19.3148,1.46112,-0.86917,0.2963,1.6667,1.9630,2.4444,0.7778,0.1481,8.7037,"Scoring PG",12.0041,1999-10-15
"Doctor Bradley","Bethune Cookman",SWAC,8,15,103.4,30,55.2,54.04,8.7,29.2,27.9,17,21,44,0.477,34,60,0.567,2,7,0.286,5.1,3.2,65.7,Sr,6-8,13,1.23369,108.827,3.9,2026,70326,"Los Angeles, CA",,1.37500000,32,51,2,9,0.6275,0.2222,5,7,0.7143,,97.4273,106.071,2.13621,46.5086,5.44871,0.591843,4.85686,5.72032,22.0375,1.62823,4.09209,1.6250,5.8750,7.5000,2.7500,1.2500,1.1250,11.8750,PF/C,2.23023,2000-10-15
"Rahmir Moore","Delaware St.",MEAC,18,36.9,93.9,16.9,40.6,47.09,3.6,11.8,11.2,15.5,26,35,0.743,16,44,0.364,11,36,0.306,0,1.6,43.8,Sr,6-2,0,-0.40844,86.2364,2.1,2026,70501,"Philadelphia, PA",,1.49993120,10,22,6,22,0.4545,0.2727,1,1,1.0000,,112.171,118.917,1.02177,48.2065,-6.20348,-3.96897,-2.2345,-5.82917,19.0727,-3.56813,-2.26104,0.8182,1.5455,2.3636,1.0909,0.4545,0.0000,5.4545,"Wing G",6.28771,2000-07-26
"Alex Hemenway",Evansville,MVC,29,65.4,94.3,14.3,43.8,47.09,0.9,7.4,6.5,9.7,27,33,0.818,12,35,0.343,46,150,0.307,0.5,0.9,17.8,Sr,6-4,12,-0.300797,89.1292,2.5,2026,70621,"Newburgh, IN",24.0,1.50017216,9,20,3,15,0.4500,0.2000,1,1,1.0000,,120.536,119.195,1.38433,98.9312,-4.45028,-1.49879,-2.95149,-4.98274,25.7226,-2.81324,-2.16951,0.2581,1.5484,1.8065,0.8710,0.3871,0.0968,6.7742,"Combo G",11.6149,2001-06-17
"Addison Patterson","Eastern Michigan",MAC,28,74.9,110.7,23.1,59.4,60.84,5.3,14.5,19.8,19.6,44,62,0.71,139,216,0.644,19,66,0.288,1.3,2.3,22,Sr,6-7,9,2.22767,113.882,3.5,2026,70754,"Mississauga, Canada",,1.23074864,110,154,29,62,0.7143,0.4677,25,27,0.9259,,107.074,106.684,2.88419,152.303,2.51499,1.22836,1.28662,2.60378,29.7414,1.45048,1.15331,1.4483,3.8621,5.3103,2.7586,1.1379,0.3448,13.5172,"Wing G",4.58616,2001-06-09
"Rienk Mast",Nebraska,B10,28,68.8,112.2,26.7,51.3,54.5,9.6,14.7,20.8,13.9,56,68,0.824,101,190,0.532,42,130,0.323,1.3,0.9,21.3,Sr,6-10,51,3.22646,125.086,2.4,2026,70772,"Groningen, Netherlands",,1.71999775,59,87,42,103,0.6782,0.4078,1,1,1.0000,,99.5115,94.3568,3.96198,137.397,5.66239,3.10409,2.5583,5.00145,28.6107,3.26551,1.73594,2.2857,3.8214,6.1071,3.0714,0.4286,0.2857,13.7143,"Stretch 4",9.63258,2001-07-19
"Rick Issanza","Loyola Marymount",WCC,28,37.2,105.2,10.1,63.8,58.41,9.3,14.4,3.1,23,11,29,0.379,30,46,0.652,0,1,0,9.6,1,61.7,Sr,7-1,22,0.00000447378,92.4424,5,2026,70789,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.44449816,26,36,4,10,0.7222,0.4000,19,22,0.8636,,103.407,101.68,1.81119,88.1899,2.62337,-3.0069,5.63027,0.18774,15.9897,-3.32259,3.51033,1.2414,2.0345,3.2759,0.2759,0.3103,1.4138,2.5862,C,0.129226,2000-10-15
"Steele Venters",Gonzaga,WCC,27,32.7,113.5,15,54.4,55.97,1.4,7.9,9.7,15.7,10,12,0.833,8,16,0.5,36,98,0.367,0.6,2.4,10.5,Sr,6-7,2,0.802631,107.869,3.3,2026,70941,"Ellensburg, WA",,1.64707745,6,8,2,8,0.7500,0.2500,2,2,1.0000,,96.9724,93.733,2.11801,71.9406,3.83144,1.7667,2.06474,3.11262,15.0630,0.35091,2.76171,0.1852,1.1111,1.2963,1.0370,0.6296,0.0741,4.9630,"Wing G",13.5322,2001-05-16
"Micah Thomas","Northwestern St.",Slnd,28,75.9,104.9,30.8,48.4,55.68,1.3,6.7,21.8,16,127,138,0.92,110,248,0.444,46,122,0.377,0.5,1.5,37.3,Sr,6-0,5,2.67601,117.837,2.4,2026,70961,"Oklahoma City, OK",,1.13043476,33,76,77,172,0.4342,0.4477,0,0,,,115.889,118.256,1.70567,110.889,-3.33961,0.361007,-3.70062,-0.198992,29.9900,2.19454,-2.39353,0.3333,1.6667,2.0000,2.6000,0.9000,0.1333,17.4000,"Scoring PG",8.69518,2000-10-15
