pid,Name,Pos,DraftPick,Age,Salary,Team,Season,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,BA,PF,PTS,AtRimFG,AtRimFGA,AtRimFGP,LowPostFG,LowPostFGA,LowPostFGP,MidRangeFG,MidRangeFGA,MidRangeFGP,DD,TD,QD,5x5,PER,EWA,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,+/-,On-Off,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ovr,Pot,Hgt,Str,Spd,Jmp,End,Ins,Dnk,FT,2Pt,3Pt,oIQ,dIQ,Drb,Pss,Reb
0,C.J. Hawkins,GF,1,21,1,NYC,2026,60,60,37.21123758572951,8.1,19.25,42.077922077922075,3.05,8.883333333333333,34.33395872420263,5.05,10.366666666666667,48.71382636655949,50,4.716666666666667,5.983333333333333,78.8300835654596,2.2666666666666666,6.55,8.816666666666666,7.116666666666666,2.8,1.6,1.0333333333333334,0.9,2.3,23.966666666666665,2.3,3.6,63.888888888888886,1.7333333333333334,4.2,41.269841269841265,1.0166666666666666,2.566666666666667,39.61038961038961,26,2,0,0,28.285908496669833,15.805030847704515,54.76175968803314,0.4614718614718615,0.31082251082251083,6.070345200179292,17.830489125596223,11.902379029349204,30.65666427934464,2.057095002888978,2.057255430342591,11.343993085566119,27.67359644642605,15.321072150071322,9.207329919522508,113.73431925233129,91.24117446985223,10.420981889685962,3.9899049577185437,14.410886847404505,0.30981795355134484,9.319988652010888,3.4980104874187354,12.817999139429624,8.37634362174746,70,79,48,64,76,78,66,44,50,60,55,64,60,54,81,70,58
1,Brandon Smith,GF,2,24,1,KEN,2026,60,60,38.76561226222609,9.933333333333334,25.883333333333333,38.37733419188667,3.8833333333333333,11.716666666666667,33.14366998577525,6.05,14.166666666666666,42.705882352941174,45.87894397939472,6.566666666666666,8,82.08333333333333,3.066666666666667,9.516666666666667,12.583333333333334,6.083333333333333,1.5166666666666666,2.5833333333333335,0.11666666666666667,1.2166666666666666,1.7166666666666666,30.316666666666666,2.5833333333333335,4.6,56.15942028985508,2.7,7.566666666666666,35.68281938325991,0.7666666666666667,2,38.333333333333336,49,5,0,0,33.57758094174865,21.36397742657831,51.553111892075734,0.45267224726336125,0.30907920154539603,7.762548152763767,24.720922033662404,16.131995831688723,30.849065694981068,3.1963122924020717,0.2146477375241343,4.9051315222078475,33.27435956726464,-0.5773983493469697,4.356962467365949,114.58766701176502,92.56950540375495,12.912018820286,3.741725776104987,16.653744596390986,0.34368077529617547,11.74030890524791,3.971759793404928,15.712068698652837,10.466755907533269,72,77,35,73,38,40,57,66,62,63,61,61,99,91,62,60,82
2,Charles Smith,PG,7,23,1,BOS,2026,60,60,39.23602503828603,7.783333333333333,20.183333333333334,38.56317093311313,3.1166666666666667,8.833333333333334,35.283018867924525,4.666666666666667,11.35,41.116005873715125,46.2840627580512,4.666666666666667,5.8,80.45977011494253,1.2,5.116666666666666,6.316666666666666,6.283333333333333,3.1666666666666665,2.55,0.4666666666666667,0.9,1.5833333333333333,23.35,1.7333333333333334,3.3,52.52525252525253,1.6833333333333333,5.1,33.006535947712415,1.25,2.95,42.3728813559322,10,0,0,0,23.27738243274104,11.503658138164548,51.35178723279478,0.43765483071841454,0.28736581337737405,3.1003245892728906,12.884426373614385,8.055159346518323,26.91270846413314,3.1265688916130174,0.8625868173215816,12.225568167194298,27.60724547808735,10.054064666798547,9.057184173408768,104.77736684089301,92.55985801689937,6.797470454655514,3.7901803392317714,10.587650793887285,0.21587611453618935,5.902199475256644,2.8428238085017945,8.745023283758439,6.415569215687912,69,76,31,56,63,78,69,49,52,63,54,61,70,76,68,73,55
3,Doug Sneed,PF,2,21,1,BEL,2026,60,60,36.64464838111834,6.8,14.483333333333333,46.95051783659379,1,3.716666666666667,26.905829596412556,5.8,10.766666666666667,53.86996904024768,50.40276179516686,4.416666666666667,6.066666666666666,72.8021978021978,3.2666666666666666,8.666666666666666,11.933333333333334,1.3666666666666667,1.5,1.9166666666666667,2.216666666666667,0.7,2.6666666666666665,19.016666666666666,3.6166666666666667,5.316666666666666,68.02507836990596,1.5333333333333334,4,38.333333333333336,0.65,1.45,44.827586206896555,42,0,0,0,25.18017312619004,11.971465886616322,55.43355746433984,0.2566168009205984,0.4188722669735328,9.007952175175605,23.634209915673708,16.361766046093635,6.131992201030675,2.521244963622709,4.337930886202077,8.041745594910468,21.737081423502215,5.897520825269948,11.89401826597768,112.47779177630304,90.29067552270277,7.3532309458013305,4.209757694275605,11.562988640076934,0.2524349753845077,3.781828774427141,0.644172512929269,4.42600128735641,3.577191356312041,63,77,61,61,65,75,37,42,58,47,43,40,52,57,67,50,51
4,Boriss Lacis,GF,10,21,1,LAE,2026,60,60,37.88913839602118,7.533333333333333,17.7,42.56120527306968,2.683333333333333,7.133333333333334,37.61682242990654,4.85,10.566666666666666,45.89905362776025,50.1412429378531,4.533333333333333,5.9,76.8361581920904,2.1333333333333333,6.083333333333333,8.216666666666667,6,1.45,1.2833333333333334,0.25,1,2.5833333333333335,22.283333333333335,2.6166666666666667,4.533333333333333,57.720588235294116,1.6833333333333333,4.283333333333333,39.29961089494164,0.55,1.75,31.428571428571427,24,2,0,0,25.53781020898814,13.60643993269139,54.895874392326895,0.4030131826741996,0.3333333333333333,5.6915122795883795,15.82562102095482,10.82244075993485,26.977871625943774,1.6103864827472698,0.47013780531571225,6.667892945829118,23.990713926609846,2.948889532045246,1.715258110419678,117.9840995156147,96.61618292310915,10.652489089121984,2.421904182867256,13.07439327198924,0.27605575266102567,7.880729712238499,2.4462826234132047,10.327012335651704,7.095179150234715,61,74,46,53,53,50,67,43,68,52,52,56,69,50,61,50,49
5,Charley Easton,G,4,22,1,BEL,2026,60,60,37.62571296899857,8.066666666666666,19.35,41.688199827734714,2.85,7.933333333333334,35.924369747899156,5.216666666666667,11.416666666666666,45.69343065693431,49.052540913006034,2.3333333333333335,3.0166666666666666,77.34806629834254,1.75,5.783333333333333,7.533333333333333,6.483333333333333,3.0833333333333335,1.9666666666666666,0.18333333333333332,0.8166666666666667,1.7333333333333334,21.316666666666666,0.8166666666666667,1.7,48.03921568627451,1.1833333333333333,3.1,38.17204301075269,3.216666666666667,6.616666666666666,48.614609571788414,21,5,0,0,22.902495968944905,10.919315228284972,51.54597627031209,0.4099913867355728,0.15590008613264428,4.6998621522831145,15.360064536550118,10.059616202230988,29.740665924413094,2.5195618935398665,0.3494213950391747,12.976628040739596,26.967751982116962,4.313148324318712,5.761258004854395,102.85545376909005,96.00095886716356,5.73026276595591,2.5915534402880023,8.321816206243913,0.17693891861877778,5.905821893477916,1.9795518543443498,7.885373747822266,5.650262666964286,61,72,33,45,70,68,48,42,29,48,68,66,56,55,67,77,55
6,Jahan Densmore,SF,2,20,1,PHI,2026,60,60,35.087296895369356,5.283333333333333,12.45,42.43641231593039,0.31666666666666665,1,31.666666666666664,4.966666666666667,11.45,43.37700145560407,43.708165997322624,2.566666666666667,4.083333333333333,62.857142857142854,1.3833333333333333,5.083333333333333,6.466666666666667,6.05,3.6333333333333333,1.5833333333333333,2,0.6,2.7666666666666666,13.45,2.5833333333333335,4.65,55.55555555555556,1.5,4.05,37.03703703703704,0.8833333333333333,2.75,32.121212121212125,5,0,0,0,16.37580220130066,4.923367554280624,47.20402433317735,0.08032128514056225,0.3279785809906292,3.9261883441857792,13.954683043367483,9.023978067163219,26.650547054866568,2.135946484023011,4.141321298208675,20.320656226696496,21.34094233168824,-0.2248364718956237,-3.4628255320745436,90.39356262883345,91.51997881913955,0.4231731025591636,3.683359395140051,4.106532497699215,0.09363006811142922,0.6600616159186448,3.1738736019539804,3.833935217872625,3.1203813575906305,54,74,58,46,73,82,44,36,35,33,42,33,35,37,61,59,36
7,Andre Thomas,SG,9,23,1,HOU,2026,60,60,38.96545937524228,9.016666666666667,25.066666666666666,35.97074468085106,3.3666666666666667,10.3,32.68608414239482,5.65,14.766666666666667,38.261851015801355,42.68617021276596,5.383333333333334,6.7,80.34825870646766,1.9,6.566666666666666,8.466666666666667,3.15,2.05,2.216666666666667,0.45,1.3166666666666667,1.7833333333333334,26.783333333333335,2.35,4.316666666666666,54.440154440154444,2.1333333333333333,6.733333333333333,31.683168316831683,1.1666666666666667,3.716666666666667,31.390134529147986,21,0,0,0,23.545656766108443,12.139224089388733,47.80234163057446,0.4109042553191489,0.26728723404255317,4.541787417760238,17.38992952947624,10.637174912881667,17.04948657345097,2.7831541960363673,0.8263410281885053,6.81863538594585,32.821998088053675,-12.74391657639979,3.772295160788997,99.1604012858496,98.94894303921701,4.9395014174782625,1.758415602776722,6.697917020254985,0.137514960740038,7.363859159344951,1.8453857403944927,9.209244899739444,6.658130743416556,64,69,34,54,61,59,78,54,53,56,53,57,68,65,56,54,53
8,Oliver Swinson,SF,5,25,1,MON,2026,60,60,37.0477889085669,10.35,23.583333333333332,43.886925795053,2.7666666666666666,8.416666666666666,32.87128712871287,7.583333333333333,15.166666666666666,50,49.75265017667845,5.566666666666666,6.383333333333334,87.20626631853786,1.6333333333333333,6.816666666666666,8.45,8.05,2.6,2.7333333333333334,0.45,0.8833333333333333,1.6166666666666667,29.033333333333335,2.3,3.8,60.526315789473685,1.2166666666666666,3,40.55555555555556,4.066666666666666,8.366666666666667,48.60557768924303,32,8,0,0,34.52643491311708,21.256747197291546,55.0040416287764,0.3568904593639576,0.2706713780918728,4.534459045199507,17.251548577364346,11.18704056347071,42.64380476579019,3.4852446502726577,0.8714891102025202,8.967991169977925,32.42483534398954,8.181824327752013,18.312683888643367,115.1215469660927,87.5980849638525,12.531737757452408,5.0597163152932945,17.5914540727457,0.3798651329213953,10.732286349998422,6.148646852891051,16.880933202889473,10.644581222098232,66,68,47,74,64,59,58,47,77,70,70,47,54,65,67,57,57
9,Sky Vincent,FC,1,21,1,SIN,2026,60,60,36.907199853592445,8.433333333333334,19.933333333333334,42.30769230769231,2.0833333333333335,7.366666666666666,28.28054298642534,6.35,12.566666666666666,50.53050397877984,47.53344481605351,4.933333333333334,6.466666666666667,76.28865979381443,4.233333333333333,9.8,14.033333333333333,1.2,3.683333333333333,1.4833333333333334,0.95,0.8333333333333334,2.9833333333333334,23.883333333333333,3.316666666666667,5.15,64.40129449838187,2.216666666666667,5.4,41.04938271604938,0.8166666666666667,2.0166666666666666,40.49586776859504,51,0,0,0,23.09950284776478,10.620021725107724,52.42478342308593,0.3695652173913043,0.32441471571906355,11.554314207100564,25.889033141665728,18.83860638078738,6.0370944813910254,1.9174540634235901,1.8125598773836367,13.919330864384147,29.800278665575878,6.3340617347411685,8.539607995289309,99.89937186572459,91.75573168299677,4.655359852520068,3.804310261775242,8.45967011429531,0.18337170303581013,3.3698719577104117,-1.165625636529406,2.2042463211810057,2.361250594558319,61,70,62,76,48,51,49,67,63,48,46,48,51,62,45,44,72
