pid,Name,Pos,DraftPick,Age,Salary,Team,Season,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,BA,PF,PTS,AtRimFG,AtRimFGA,AtRimFGP,LowPostFG,LowPostFGA,LowPostFGP,MidRangeFG,MidRangeFGA,MidRangeFGP,DD,TD,QD,5x5,PER,EWA,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,+/-,On-Off,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ovr,Pot,Hgt,Str,Spd,Jmp,End,Ins,Dnk,FT,2Pt,3Pt,oIQ,dIQ,Drb,Pss,Reb
0,Matthew Duncan,G,11,25,21.75,OTT,2026,82,82,38.57459375589249,6.817073170731708,16.585365853658537,41.10294117647059,2.9390243902439024,7.878048780487805,37.306501547987615,3.8780487804878048,8.707317073170731,44.537815126050425,49.963235294117645,3.1219512195121952,3.451219512195122,90.45936395759718,0.5,2.2804878048780486,2.7804878048780486,4.146341463414634,1.975609756097561,1.7073170731707317,0.4634146341463415,0.975609756097561,1.3414634146341464,19.695121951219512,0.926829268292683,1.3780487804878048,67.2566371681416,0.975609756097561,2.8536585365853657,34.18803418803419,1.975609756097561,4.475609756097561,44.141689373297005,1,0,0,0,16.012059810616165,6.624680278656965,54.394686497992616,0.475,0.20808823529411766,1.3632104119942725,6.230854844857915,3.7944351660819833,16.461375862996327,2.1244224349305583,1.0112018630884012,9.838933022374462,21.873175434743835,6.525011762366727,6.402391845807256,110.38065868077737,107.11950887937952,4.984955926603309,3.0589733715230354,8.043929298126343,0.12206587502032652,1.6750471641897517,0.39717080429987117,2.072217968489623,3.2642931102986754,70,72,32,64,92,79,69,51,52,76,67,76,60,55,63,62,44
1,Claybrin Flint,F,2,21,6.69,PAR,2026,82,82,28.388759129133838,4.353658536585366,10.060975609756097,43.27272727272727,1.2439024390243902,4.012195121951219,31.00303951367781,3.1097560975609757,6.048780487804878,51.41129032258065,49.45454545454545,2.268292682926829,3.0121951219512195,75.30364372469636,1.1219512195121952,3.7195121951219514,4.841463414634147,2.8780487804878048,1.524390243902439,0.6829268292682927,0.7439024390243902,0.6341463414634146,2.658536585365854,12.21951219512195,1.8902439024390243,2.9878048780487805,63.26530612244898,0.8902439024390244,2.2560975609756095,39.45945945945946,0.32926829268292684,0.8048780487804879,40.909090909090914,0,0,0,0,14.200731198969347,2.96553732842223,53.65864107617171,0.3987878787878788,0.2993939393939394,4.077364533853059,13.892731490375947,8.917837177015848,14.75183284885102,1.1502677195171738,2.150373194108614,11.807156081157668,19.019468967573083,5.1351237456386025,3.650994926084361,108.38781312925241,106.32040309064256,2.770301710543895,2.477336012481536,5.247637723025431,0.10820437488854917,0.19639789065050106,0.4140439903119253,0.6104418809624264,1.5302923379251399,60,76,61,49,57,47,44,37,50,52,47,51,56,46,71,63,46
2,Joe Taylor,C,5,22,4.25,UTA,2026,82,82,30.9900051554568,7.024390243902439,13.414634146341463,52.36363636363637,0.3170731707317073,1.024390243902439,30.952380952380953,6.7073170731707314,12.390243902439025,54.13385826771654,53.54545454545454,3.268292682926829,5.317073170731708,61.46788990825688,3.975609756097561,8.634146341463415,12.609756097560975,1.3780487804878048,3.024390243902439,0.8414634146341463,2.1951219512195124,0.7560975609756098,3.4146341463414633,17.634146341463413,4.463414634146342,6.829268292682927,65.35714285714286,1.670731707317073,4.304878048780488,38.81019830028329,0.573170731707317,1.2560975609756098,45.63106796116505,58,0,0,0,21.591188299065113,11.116653742613014,55.96668318057964,0.07636363636363637,0.39636363636363636,13.261111294120568,28.777645989204043,21.02241831804243,7.6807799651001565,1.309314478239022,5.737433064311595,16.105569409808812,25.629923036187293,-4.914673184499418,-0.6884638527966572,103.17297552430387,100.38088471965985,2.033087447446049,4.538866062510699,6.5719535099567485,0.12413670656917133,0.5224271771740385,0.4524990932281314,0.97492627040217,1.9109768446577546,60,69,79,61,51,45,50,56,63,32,43,34,43,54,48,58,73
3,William Humphries,GF,32,23,21.22,JNB,2026,82,82,30.271927659207684,6.390243902439025,14.914634146341463,42.8454619787408,1.8902439024390243,5.865853658536586,32.224532224532226,4.5,9.048780487804878,49.73045822102426,49.182338511856095,3.4146341463414633,4.475609756097561,76.29427792915531,1.9390243902439024,5.170731707317073,7.109756097560975,1.353658536585366,2.8658536585365852,1.1341463414634145,0.23170731707317074,0.7439024390243902,2.1097560975609757,18.085365853658537,2.231707317073171,3.426829268292683,65.12455516014235,1.7439024390243902,4.317073170731708,40.3954802259887,0.524390243902439,1.3048780487804879,40.18691588785047,14,0,0,0,15.731060355539924,5.168179508233239,53.55801456142378,0.39329517579721995,0.3000817661488144,6.825265283194754,17.36555576112168,12.21916180089027,7.602292182708635,1.7859770507718562,0.6380106729175973,14.51083063699459,27.4692904376184,-1.286671638209773,-4.4032060496649335,98.5305450359348,103.61988684566359,0.19871974586747262,3.4564486038956415,3.655168349763114,0.07067969920554278,0.10850340842599149,-0.9402169947397905,-0.831713586313799,0.731224182458236,61,68,38,60,53,54,56,76,77,53,45,52,60,63,58,48,72
4,Sam Kramer,SF,14,22,1.81,PHI,2026,82,82,28.457661172759614,3.7195121951219514,8.975609756097562,41.440217391304344,1.4268292682926829,4.134146341463414,34.51327433628318,2.292682926829268,4.841463414634147,47.3551637279597,49.38858695652174,1.2682926829268293,1.6951219512195121,74.82014388489209,1.1341463414634145,3.792682926829268,4.926829268292683,1.5609756097560976,1.1341463414634145,0.8902439024390244,0.47560975609756095,0.524390243902439,2.5,10.134146341463415,1.2804878048780488,2.1341463414634148,60,0.5,1.353658536585366,36.93693693693694,0.5121951219512195,1.353658536585366,37.83783783783784,3,0,0,0,11.544285799426715,0.9698986581906507,52.12253499924733,0.46059782608695654,0.18885869565217392,4.266892802359056,13.944307074042817,9.161261898297566,7.714239492280192,1.5118237632240183,1.403442839759501,10.447559989215423,16.215053523379435,3.4171359017132117,-2.420947328335811,105.80094677259927,106.16899955245559,1.7331260711609886,2.526291285541255,4.259417356702244,0.08761498219961457,-1.6415199731312429,-0.506921713820792,-2.148441686952035,-0.087561391546523,58,69,51,45,52,53,41,35,41,63,59,65,58,59,51,50,52
5,Riley Johnson,F,4,21,5.06,SEA,2026,82,9,23.34028283864096,2.975609756097561,8,37.19512195121951,1.0121951219512195,3.3658536585365852,30.07246376811594,1.9634146341463414,4.634146341463414,42.368421052631575,43.521341463414636,1.5975609756097562,1.9634146341463414,81.36645962732919,0.7317073170731707,2.5,3.231707317073171,1.3414634146341464,1.9024390243902438,0.4146341463414634,0.5975609756097561,0.4878048780487805,2.182926829268293,8.560975609756097,0.9634146341463414,1.7682926829268293,54.48275862068965,0.3902439024390244,1.1219512195121952,34.78260869565217,0.6097560975609756,1.7439024390243902,34.96503496503497,0,0,0,0,7.556194437234497,-2.6233275470053807,48.29123328380386,0.42073170731707316,0.24542682926829268,3.308701295210972,11.083241779824057,7.23442890042122,9.030283282894686,0.8496634985144006,2.082341690915168,17.670246024194643,19.39691096571383,-7.696951688402971,-3.07085377691408,89.37477845997097,110.01436851073991,-1.9067359895370586,1.1774688592791913,-0.7292671302578673,-0.018289755921113943,-4.423789658240208,-2.2247463889657135,-6.648536047205922,-2.2461115835525867,55,71,56,53,67,66,35,29,56,52,51,58,43,34,51,48,46
6,LaQuan Irby,FC,5,26,13.09,PRO,2026,82,82,36.02595198284634,6.987804878048781,12.804878048780488,54.57142857142857,0.35365853658536583,1.4390243902439024,24.576271186440678,6.634146341463414,11.365853658536585,58.36909871244635,55.952380952380956,3.8902439024390243,6.304878048780488,61.702127659574465,3.268292682926829,7.829268292682927,11.097560975609756,1.5731707317073171,1.5609756097560976,1.0975609756097562,1.8780487804878048,0.8414634146341463,3.0365853658536586,18.21951219512195,4.219512195121951,6.219512195121951,67.84313725490196,2.268292682926829,4.7560975609756095,47.69230769230769,0.14634146341463414,0.3902439024390244,37.5,49,0,0,0,21.19248459144027,11.925253077012876,58.47449666530983,0.11238095238095239,0.49238095238095236,9.526013680013065,22.965708881413082,16.224443439754666,6.731605509728103,1.4687822837743332,4.373795870253955,9.107208925064747,20.185978211410912,5.4834538575679765,14.774257757650254,117.78172572971614,104.1260817616612,7.05348961055664,3.9316882661311903,10.98517787668783,0.17849210559210305,1.4071097549737939,-0.08103982097056672,1.3260699340032271,2.4774676072088844,64,65,64,72,58,54,65,54,65,26,35,34,64,57,55,50,57
7,Devon Walker,PG,9,26,28.98,CHI,2026,82,82,33.36786247729592,4.402439024390244,10.987804878048781,40.066592674805776,1.1829268292682926,3.731707317073171,31.699346405228756,3.2195121951219514,7.2560975609756095,44.36974789915966,45.44950055493896,2.707317073170732,4.304878048780488,62.889518413597735,0.5609756097560976,3.268292682926829,3.8292682926829267,7.060975609756097,1.7317073170731707,1.6097560975609757,0.15853658536585366,0.7073170731707317,1.0121951219512195,12.695121951219512,1.2195121951219512,2.158536585365854,56.49717514124294,1.646341463414634,4.085365853658536,40.298507462686565,0.35365853658536583,1.0121951219512195,34.93975903614458,9,0,0,0,15.84140206989831,5.272387484252473,49.274840957285676,0.33962264150943394,0.39178690344062156,1.7729599667132,10.277166817282131,6.035845450596411,30.64842156278734,2.3106790258619374,0.3952793831304623,11.849923225849523,18.493197800735466,3.0283899343031626,-0.19167977785070936,109.62714789590015,105.73829966822359,3.804088650436073,3.1054251223852494,6.909513772821322,0.12121224219096986,0.9331807156154621,1.156904243097923,2.090084958713385,2.839671702277108,63,65,23,43,79,80,62,42,58,34,44,43,69,61,67,67,58
8,Will Abramo,PG,3,20,5.88,JNB,2026,81,0,8.82344372309357,1.4444444444444444,3.0864197530864197,46.800000000000004,0.4444444444444444,1.382716049382716,32.142857142857146,1,1.7037037037037037,58.69565217391305,54,0.4691358024691358,0.5925925925925926,79.16666666666666,0.20987654320987653,0.49382716049382713,0.7037037037037037,1.0123456790123457,0.8024691358024691,0.2716049382716049,0.04938271604938271,0.09876543209876543,0.6049382716049383,3.802469135802469,0.16049382716049382,0.30864197530864196,52,0.1111111111111111,0.2345679012345679,47.368421052631575,0.7283950617283951,1.1604938271604939,62.76595744680851,0,0,0,0,11.872189924906966,0.24810078255901746,56.801416347005016,0.448,0.192,2.534557355646409,5.690017629094159,4.149335071338351,18.051551816519925,1.467392843393628,0.4665144760633946,19.338331548256573,19.80145018127565,-0.3334983730319241,-0.8466641830837542,100.62165468284175,108.04362673823815,0.22232584636074493,0.6108913314788771,0.833217177839622,0.055959820576217074,-1.1401651735545268,-0.24848783913956574,-1.3886530126940926,0.11016869509846332,50,69,30,40,72,68,28,33,38,65,69,68,32,39,70,68,48
9,Bryan Marshall,PF,15,22,1.54,NYC,2026,82,0,19.2036140409707,3.292682926829268,6.548780487804878,50.27932960893855,0.7317073170731707,2.0121951219512195,36.36363636363637,2.5609756097560976,4.536585365853658,56.451612903225815,55.865921787709496,1.2317073170731707,1.7195121951219512,71.63120567375887,1.2439024390243902,3.402439024390244,4.646341463414634,0.5,1.2073170731707317,0.524390243902439,0.6707317073170732,0.3048780487804878,1.7317073170731707,8.548780487804878,1.524390243902439,2.207317073170732,69.06077348066299,0.6219512195121951,1.4878048780487805,41.80327868852459,0.4146341463414634,0.8414634146341463,49.275362318840585,2,0,0,0,15.062247108618436,2.2326199102816826,58.510283119658126,0.30726256983240224,0.26256983240223464,6.764338778579218,17.830237773531213,12.39965750598652,4.010032092044059,1.2989520842530917,2.929845558739035,14.182568334192883,18.433153422935835,2.5374877908829974,-1.1503135652545429,107.33713310075699,101.3118982339606,1.5625304654804264,2.6344112223174165,4.1969416877978425,0.1279314585573029,-0.6676615605144693,0.6750996435735912,0.007438083059121858,0.7980574160503686,55,66,60,60,48,49,45,40,57,39,41,44,43,52,49,49,59
